Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Ahaus;2024-08-01;14.6;15.6;18.4;22.7;28.2;2.75
Alfeld;2024-08-01;12.7;14.3;20.9;28.3;19.9;7.5
Andernach;2024-08-01;14.1;15.9;20.9;24.6;3.9;2.8
Angermünde;2024-08-01;11.3;12.5;20;27.2;0;12.2
Arkona;2024-08-01;12.1;15.3;17.9;20.1;0;13.25
Artern;2024-08-01;13.6;16.9;23.3;30.5;37.2;NULL
Augsburg;2024-08-01;13.2;14.9;21.4;27.2;0;7.15
Bamberg;2024-08-01;16;16.9;21.3;29.4;6.9;5.417
Barth;2024-08-01;7.4;8.2;16;21.9;0;NULL
Baruth;2024-08-01;15.4;16.5;23;29.3;0.2;NULL
Belm;2024-08-01;13.4;14.5;19.5;26.1;6.7;8.05
Berge;2024-08-01;12.6;14.4;21.8;27.7;0;14.033
Berlin-Dahlem (FU);2024-08-01;14.7;16.9;22.8;28.2;0;12.917
Berlin-Tempelhof;2024-08-01;15.5;17.7;23;28.3;0;NULL
Bertsdorf-Hörnitz;2024-08-01;17.6;17.7;23.1;29.4;9.9;NULL
Berus;2024-08-01;18;18.3;20.6;24;37.4;2
Boizenburg;2024-08-01;10.6;12.6;19.6;26.8;0;12.4
Boltenhagen;2024-08-01;12.9;13.9;18.1;20.7;0;10.9
Braunlage;2024-08-01;11.5;14.8;19.7;24.9;40.4;NULL
Braunschweig;2024-08-01;13.3;15.4;22.2;27.8;5.5;10.933
Bremen;2024-08-01;12.3;13.4;18.9;24.9;0;11.233
Bremerhaven;2024-08-01;13.2;14;18;21.9;0.6;10.533
Bremervörde;2024-08-01;8.6;10.8;17.4;23.1;0;10.083
Carlsfeld;2024-08-01;12.1;14.7;17.7;23.2;13.3;5.633
Chemnitz;2024-08-01;16.5;17.8;21.8;29;9.6;9.25
Chieming;2024-08-01;16.9;17.3;21.6;28.2;13.3;9.283
Cottbus;2024-08-01;17.5;18.8;23.9;29.5;7;11.233
Cuxhaven;2024-08-01;13.2;15.1;17.8;20.3;0.7;10.267
Deuselbach;2024-08-01;16.7;17.7;20;23.9;7.2;1.4
Diepholz;2024-08-01;11.9;13.8;19.4;26.6;1.7;9.6
Doberlug-Kirchhain;2024-08-01;16.6;18.3;23.6;28.8;19.1;11.567
Dresden-Klotzsche;2024-08-01;18.7;19.1;24.2;30.2;10.2;10.35
Düsseldorf;2024-08-01;15;16.6;19.9;22.3;13.9;0.233
Dörnick;2024-08-01;9.8;11.1;16.7;22.4;0;9.133
Dörpen;2024-08-01;8.9;12;18;24.2;0;8.367
