Standort	Geo_Breite	Geo_Laenge
Aachen	50.783	6.094
Großenkneten	52.934	8.237
Ahrensburg-Wulfsdorf	53.662	10.199
Albstadt-Badkap	48.216	8.978
Albstadt-Onstmettingen	48.277	9.000
Aldersbach-Kramersepp	48.618	13.062
Neuruppin-Alt Ruppin	52.944	12.852
Leuchtturm Alte Weser	53.863	8.127
Altentreptow	53.689	13.242
Geringswalde-Altgeringswalde	51.088	12.933
Alzey	49.727	8.116
Amberg-Unterammersricht	49.469	11.855
Amerang-Pfaffing	48.020	12.293
Andernach	50.424	7.420
Angermünde	53.032	13.991
Anklam	53.841	13.685
Arkona	54.679	13.434
Arnsberg	51.377	8.071
Arolsen-Neu Berich	51.385	9.082
Artern	51.374	11.292
Attenkam	47.877	11.364
Au i.d.Hallertau-Günzenhausen	48.551	11.712
Aue	50.591	12.714
Augsburg	48.425	10.942
Aurich	53.462	7.467
Müllheim	47.806	7.639
Bamberg	49.874	10.921
Bargischow-Gnevezin	53.841	13.755
Barth	54.340	12.711
Baruth	52.061	13.500
Heinersreuth-Vollhof	49.967	11.520
Beckum-Unterberg	51.720	8.058
Oberzent-Beerfelden	49.562	8.967
Belm	52.317	8.169
Bendorf	50.413	7.589
Bergen	52.815	9.925
Bergzabern, Bad	49.107	7.997
Berleburg, Bad	51.045	8.385
Berleburg, Bad-Stünzel	50.984	8.368
Berlin-Alexanderplatz	52.520	13.406
Berlin-Buch	52.631	13.502
Berlin-Dahlem (FU)	52.454	13.302
Berlin-Kaniswall	52.404	13.731
Berlin Brandenburg	52.381	13.531
Berlin-Tegel	52.564	13.309
Berlin-Tempelhof	52.468	13.402
Bernburg/Saale (Nord)	51.822	11.711
Bernkastel-Kues	49.919	7.066
Berus	49.264	6.687
Warthausen-Birkenhard	48.125	9.764
Biedenkopf-Wallau	50.928	8.494
Bischbrunn	49.875	9.488
Blankenrath	50.037	7.308
Bocholt-Liedern (Wasserwerk)	51.829	6.537
Bochum	51.503	7.229
Boizenburg	53.391	10.688
Boltenhagen	54.003	11.191
Bonn-Friesdorf	50.706	7.147
Königswinter-Heiderhof	50.729	7.204
Borkum-Süderstraße	53.579	6.670
Brake	53.352	8.497
Brake-Süderfeld	53.296	8.453
Brande-Hörnerkirchen	53.855	9.715
Braunlage	51.723	10.602
Braunschweig	52.291	10.446
Breitsol	49.902	9.428
Bremen	53.045	8.798
Bremerhaven	53.533	8.576
Bremervörde	53.445	9.139
Eschbach	47.886	7.661
Bretten	49.025	8.699
Brocken	51.799	10.618
Buchen, Kr. Neckar-Odenwald	49.518	9.321
Buchenbach	47.962	7.998
Rosengarten-Klecken	53.363	9.944
Büchel-Alflen	50.175	7.059
Bückeburg	52.282	9.089
Carlsfeld	50.431	12.611
Celle	52.596	10.030
Pemfling-Pitzling	49.251	12.604
Chemnitz	50.791	12.872
Chieming	47.884	12.540
Clausthal-Zellerfeld	51.790	10.347
Lautertal-Oberlauter	50.307	10.968
Collmberg	51.304	13.010
Cottbus	51.776	14.317
Crimmitschau	50.815	12.382
Cuxhaven	53.871	8.706
Deuselbach	49.762	7.054
UFS Deutsche Bucht	54.180	7.459
Diepholz	52.588	8.342
Dillenburg	50.736	8.267
Dillingen/Donau-Fristingen	48.556	10.560
Doberan, Bad-Heiligendamm	54.144	11.845
Doberlug-Kirchhain	51.645	13.575
Donaueschingen	47.942	8.505
Dresden-Klotzsche	51.128	13.754
Dresden-Hosterwitz	51.022	13.847
Düsseldorf	51.296	6.769
Düsseldorf-Südfriedhof	51.200	6.757
Einbeck	51.819	9.887
Ellwangen-Rindelbach	48.989	10.131
Elpersbüttel	54.069	9.011
Elster, Bad-Sohl	50.270	12.274
Elzach-Fisnacht	48.201	8.109
Emden-Nesserland	53.345	7.191
UFS TW Ems	54.165	6.346
Engen/Hegau	47.852	8.767
Eningen	48.473	9.303
Eppingen-Elsenz	49.166	8.848
München-Flughafen	48.348	11.813
Erfde	54.299	9.316
Erfurt-Weimar	50.983	10.961
Ering	48.301	13.140
Eriskirch-Mariabrunn	47.636	9.539
Möhrendorf-Kleinseebach	49.650	11.008
Eschwege	51.204	10.014
Essen-Bredeney	51.404	6.968
Weilerswist-Lommersum	50.712	6.790
Faßberg	52.916	10.188
Feldberg/Schwarzwald	47.875	8.004
Fichtelberg/Oberfranken-Hüttstadl	49.981	11.838
Fichtelberg	50.428	12.954
Flensburg	54.809	9.418
Flensburg (Schäferhaus)	54.774	9.375
Frankfurt/Main	50.026	8.521
Frankfurt/Main (Stadt)	50.147	8.675
Frankfurt/Main-Westend	50.127	8.669
Freiamt-Ottoschwanden	48.202	7.934
Freiburg	48.023	7.834
Freiburg/Elbe	53.828	9.249
Freudenstadt	48.454	8.409
Freystadt-Michelbach	49.187	11.308
Friedrichshafen	47.645	9.479
Friesoythe-Altenoythe	53.064	7.902
Fulda-Horas	50.567	9.653
Gardelegen	52.513	11.394
Garmisch-Partenkirchen	47.483	11.062
Geisenheim	49.986	7.955
Gelbelsee	48.948	11.429
Geldern-Walbeck	51.494	6.246
Genthin	52.388	12.160
Gera-Leumnitz	50.881	12.129
Gießen/Wettenberg	50.602	8.644
Glücksburg-Meierwik	54.827	9.506
Glückstadt	53.797	9.430
Görlitz	51.162	14.951
Gößweinstein	49.766	11.306
Göttingen	51.500	9.951
Goldberg	53.606	12.103
Gottleuba, Bad	50.850	13.939
Grainet-Rehberg	48.789	13.629
Greifswald	54.097	13.406
Greifswalder Oie	54.244	13.910
Münster-Osnabrück	52.134	7.697
Groß Lüsewitz	54.071	12.324
Großer Arber	49.113	13.134
Grosser Falkenstein	49.085	13.280
Feldkirchen-Westerham-Lenzmühle	47.941	11.900
Grünow	53.315	13.934
Günzburg	48.488	10.261
Hagen-Fley	51.413	7.489
Halle-Kröllwitz	51.514	11.950
Hamburg-Fuhlsbüttel	53.633	9.988
Hamburg-Sankt Pauli	53.547	9.966
Hameln	52.085	9.390
Hannover	52.464	9.678
Harburg	48.792	10.706
Harzgerode	51.652	11.137
Hechingen	48.375	8.980
Heidelberg	49.421	8.668
Heidenheim/Brenz	48.685	10.142
Heidenrod-Mappershain	50.169	7.995
