Standort	Datum	Min_2m	Mittel_2m	Max_2m	Niederschlagshoehe	Sonnenscheindauer	Mittel_Windstaerke	Max_Windgeschwindigkeit
Leuchtturm Alte Weser	2018-01-01	5.2	6.5	8.3	NULL	1.6	13.1	26.1
Leuchtturm Alte Weser	2018-01-02	4.5	5.6	6.5	NULL	3.1	9.6	18.8
Leuchtturm Alte Weser	2018-01-03	4.4	6.5	8.6	NULL	1.5	18.1	29.8
Leuchtturm Alte Weser	2018-01-04	5.1	6.3	7.5	NULL	0.1	9.7	23.6
Leuchtturm Alte Weser	2018-01-05	5	5.8	6.9	NULL	0.1	11.2	27.9
Leuchtturm Alte Weser	2018-01-06	1.9	4.1	5.9	NULL	0.6	7.9	12.3
Leuchtturm Alte Weser	2018-01-07	0.2	1.5	2.6	NULL	7	8.6	11.9
Leuchtturm Alte Weser	2018-01-08	-0.4	0.9	2.1	NULL	7.5	11.2	19.1
Leuchtturm Alte Weser	2018-01-09	-0.4	1.7	3	NULL	2.3	10.2	17.6
Leuchtturm Alte Weser	2018-01-10	2.2	4.3	6.4	NULL	0	6.1	9.3
Leuchtturm Alte Weser	2018-01-11	2.9	3.9	5.9	NULL	1.3	4.6	7.7
Leuchtturm Alte Weser	2018-01-12	1.7	2.4	3.5	NULL	0	7.8	10.8
Leuchtturm Alte Weser	2018-01-13	0.3	1.8	2.6	NULL	0	9	13.1
Leuchtturm Alte Weser	2018-01-14	0	0.6	1.5	NULL	2.7	10.2	18.1
Leuchtturm Alte Weser	2018-01-15	0.3	2.6	6.1	NULL	0	14.7	20.2
Leuchtturm Alte Weser	2018-01-16	1.4	3.9	6	NULL	0.5	12.5	24.1
Leuchtturm Alte Weser	2018-01-17	0.3	2.9	5.5	NULL	1.6	12	22.8
Leuchtturm Alte Weser	2018-01-18	0.3	2.7	4.8	NULL	0	11	20.8
Leuchtturm Alte Weser	2018-01-19	1.4	2.7	3.9	NULL	3.6	8.8	16.9
Leuchtturm Alte Weser	2018-01-20	0.9	1.9	2.7	NULL	0.1	7.8	13
Leuchtturm Alte Weser	2018-01-21	0	1.2	2	NULL	0	5.3	11.3
Leuchtturm Alte Weser	2018-01-22	0.9	2.3	5.5	NULL	0	6.6	12.3
Leuchtturm Alte Weser	2018-01-23	4.8	6	8.6	NULL	0.2	10.1	17.8
Leuchtturm Alte Weser	2018-01-24	5.9	9.6	12.8	NULL	0	14.3	25.7
Leuchtturm Alte Weser	2018-01-25	5.9	7	7.9	NULL	0.2	9.3	14.7
Leuchtturm Alte Weser	2018-01-26	2.7	4.4	7	NULL	0.6	4.7	8
Leuchtturm Alte Weser	2018-01-27	4.3	5.1	5.9	NULL	0	9.9	24.3
Leuchtturm Alte Weser	2018-01-28	5.5	7.1	9	NULL	0.3	15.9	23.6
Leuchtturm Alte Weser	2018-01-29	5.8	7.6	10.2	NULL	0	16.4	24.8
Leuchtturm Alte Weser	2018-01-30	3.4	5.4	6.1	NULL	5.1	10.7	21.2
Leuchtturm Alte Weser	2018-01-31	2.9	5	7.9	NULL	0	12.3	23.8
