Standort;Datum;Boden;MinTemp;AvgTemp;MaxTemp;Regen;Sonne
Neuruppin-Alt Ruppin;2022-01-01;7.6;9.4;11.2;11.9;0;NULL
Neuruppin-Alt Ruppin;2022-01-02;4.5;6.5;9.6;11.9;15.6;NULL
Neuruppin-Alt Ruppin;2022-01-03;2.9;5.3;7.8;9.8;4;NULL
Neuruppin-Alt Ruppin;2022-01-04;0.8;2.3;5.5;6.7;1.7;NULL
Neuruppin-Alt Ruppin;2022-01-05;-0.1;1.9;3.1;4.1;0.4;NULL
Neuruppin-Alt Ruppin;2022-01-06;-6.4;-2.4;0.3;3.5;0;NULL
Neuruppin-Alt Ruppin;2022-01-07;-6.8;-3.3;-0.1;1.5;5.7;NULL
Neuruppin-Alt Ruppin;2022-01-08;-2.7;-0.7;0.8;1.6;0;NULL
Neuruppin-Alt Ruppin;2022-01-09;-2.6;-0.9;0.8;2.4;0.3;NULL
Neuruppin-Alt Ruppin;2022-01-10;-3.1;-2;2.2;3.9;0;NULL
Neuruppin-Alt Ruppin;2022-01-11;-3.9;-3.2;-2.4;-1.7;0;NULL
Neuruppin-Alt Ruppin;2022-01-12;-1.8;-2;1.1;3.8;0;NULL
Neuruppin-Alt Ruppin;2022-01-13;3.4;3.8;4.6;5.6;0;NULL
Neuruppin-Alt Ruppin;2022-01-14;-3.9;0.5;5.7;7.4;0.1;NULL
Neuruppin-Alt Ruppin;2022-01-15;-5.3;-1;0.4;2;0;NULL
Neuruppin-Alt Ruppin;2022-01-16;-3.2;-0.9;2;5.7;0.5;NULL
Neuruppin-Alt Ruppin;2022-01-17;-3.3;-0.5;3.9;6.5;6.1;NULL
Neuruppin-Alt Ruppin;2022-01-18;-5.3;-2.1;2.3;5.4;0;NULL
Neuruppin-Alt Ruppin;2022-01-19;1.6;3;3.7;4.9;1;NULL
Neuruppin-Alt Ruppin;2022-01-20;-4.9;-1.8;0.8;3.9;1.7;NULL
Neuruppin-Alt Ruppin;2022-01-21;-6.8;-3.9;0;3.3;1.2;NULL
Neuruppin-Alt Ruppin;2022-01-22;-1.2;0.6;2.7;4.6;0.7;NULL
Neuruppin-Alt Ruppin;2022-01-23;2.1;3.8;5.3;6.4;1;NULL
Neuruppin-Alt Ruppin;2022-01-24;2.5;3.3;4.2;5.8;0.2;NULL
Neuruppin-Alt Ruppin;2022-01-25;2.2;2.6;3.7;4.5;0.1;NULL
Neuruppin-Alt Ruppin;2022-01-26;1.4;1.8;2.9;4;0;NULL
Neuruppin-Alt Ruppin;2022-01-27;2.6;3.2;4.6;6.8;1.6;NULL
Neuruppin-Alt Ruppin;2022-01-28;0.1;2.3;4.7;7.1;1.8;NULL
Neuruppin-Alt Ruppin;2022-01-29;1.6;2.4;5.7;9;7.9;NULL
Neuruppin-Alt Ruppin;2022-01-30;2.9;3.7;5.7;7.2;0;NULL
Neuruppin-Alt Ruppin;2022-01-31;-3.9;-1.4;1.9;5.1;0;NULL
Neuruppin-Alt Ruppin;2022-02-01;-0.6;0.6;3.3;6.4;5.4;NULL
Neuruppin-Alt Ruppin;2022-02-02;-1;0.9;4.6;6.5;0.9;NULL
Neuruppin-Alt Ruppin;2022-02-03;-1.7;0.3;3.9;6.8;2.7;NULL
Neuruppin-Alt Ruppin;2022-02-04;2;2.4;5.9;8;2.6;NULL
Neuruppin-Alt Ruppin;2022-02-05;0.7;2;4.1;5.9;2.1;NULL
Neuruppin-Alt Ruppin;2022-02-06;1.6;2.8;5.2;7.8;10.2;NULL
Neuruppin-Alt Ruppin;2022-02-07;0.3;2.2;3.9;6.2;0;NULL
Neuruppin-Alt Ruppin;2022-02-08;0.4;1.5;5.8;8.7;4.4;NULL
Neuruppin-Alt Ruppin;2022-02-09;6.7;7.3;8.6;9.8;0.4;NULL
Neuruppin-Alt Ruppin;2022-02-10;-0.4;2.3;6;7.8;1.9;NULL
Neuruppin-Alt Ruppin;2022-02-11;-5.6;-1.3;2.8;6.1;0;NULL
Neuruppin-Alt Ruppin;2022-02-12;-8.1;-3.6;0.2;5.3;0;NULL
Neuruppin-Alt Ruppin;2022-02-13;-6;-2.1;2.1;7;0;NULL
Neuruppin-Alt Ruppin;2022-02-14;-0.8;2.3;6.9;12.7;0;NULL
Neuruppin-Alt Ruppin;2022-02-15;-0.3;3.3;6.2;9.7;1.3;NULL
Neuruppin-Alt Ruppin;2022-02-16;3.4;4.4;7.2;12.2;19.5;NULL
Neuruppin-Alt Ruppin;2022-02-17;2.7;4.3;6.6;12.9;9;NULL
Neuruppin-Alt Ruppin;2022-02-18;0.9;3;5.8;10.4;2.7;NULL
Neuruppin-Alt Ruppin;2022-02-19;0.6;2.3;5.1;7.5;1.3;NULL
Neuruppin-Alt Ruppin;2022-02-20;1.9;2.1;4.9;8.2;13.5;NULL
Neuruppin-Alt Ruppin;2022-02-21;1;2.5;4.9;9.6;3.4;NULL
Neuruppin-Alt Ruppin;2022-02-22;2.5;3.6;5.4;8;2.8;NULL
Neuruppin-Alt Ruppin;2022-02-23;-3.4;1;5.5;9.5;0;NULL
Neuruppin-Alt Ruppin;2022-02-24;-2.8;1.2;5;9.5;0.5;NULL
Neuruppin-Alt Ruppin;2022-02-25;0.5;2.1;3.8;6.3;1.5;NULL
Neuruppin-Alt Ruppin;2022-02-26;-5.8;-2;4.2;8.7;0;NULL
Neuruppin-Alt Ruppin;2022-02-27;-6.3;-2.4;0.1;5;0;NULL
Neuruppin-Alt Ruppin;2022-02-28;-6.9;-2;0.7;6.7;0;NULL
Neuruppin-Alt Ruppin;2022-03-01;-7.1;-3;1;7.8;0;NULL
Neuruppin-Alt Ruppin;2022-03-02;-6.5;-3.1;1.1;8.5;0;NULL
Neuruppin-Alt Ruppin;2022-03-03;-7.5;-3.5;-0.6;2.3;0;NULL
Neuruppin-Alt Ruppin;2022-03-04;-5.9;-1.9;1.4;6.2;0;NULL
Neuruppin-Alt Ruppin;2022-03-05;-7.7;-3.3;0.6;5.7;0;NULL
